abschlag,breite,laenge
1,50.24598055555556,8.59096388888889
2,50.248025,8.586630555555555
3,50.25030833333333,8.583616666666666
4,50.24729166666666,8.581922222222223
5,50.251275,8.579605555555556
6,50.24891666666667,8.578713888888888
7,50.24940277777778,8.578874999999998
8,50.250658333333334,8.577066666666667
9,50.25282777777778,8.576136111111111
10,50.254730555555554,8.574952777777778
11,50.255050000000004,8.570525
12,50.252738888888885,8.578222222222221
13,50.251286111111106,8.579872222222221
14,50.25034722222222,8.583494444444446
15,50.25111944444444,8.583080555555556
16,50.24926111111111,8.586080555555556
17,50.24751388888889,8.589244444444445
18,50.24756388888889,8.58666388888889
